Date / Time (PST)    ,T_1 (ºC),T_2 (ºC),T_3 (ºC),T_4 (ºC),QG (W m-2),qw (m3 m-3),Q* (W m-2),QH (W m-2)
2009-05-01 00:15,6.00,7.64,8.41,6.14,-9.29,0.26,-36.2,
2009-05-01 00:30,5.87,7.52,8.34,6.17,-9.40,0.26,-33.8,0.5
2009-05-01 00:45,5.72,7.44,8.27,6.20,-9.54,0.26,-32.5,
2009-05-01 01:00,5.55,7.31,8.20,6.15,-9.60,0.26,-31.4,-4.6
2009-05-01 01:15,5.46,7.17,8.15,6.16,-9.60,0.26,-30.0,
2009-05-01 01:30,5.36,7.06,8.08,6.19,-9.62,0.26,-29.0,2.7
2009-05-01 01:45,5.22,6.99,8.00,6.19,-9.75,0.26,-27.6,
2009-05-01 02:00,5.12,6.84,7.94,6.19,-9.80,0.26,-27.9,-6.2
2009-05-01 02:15,5.00,6.76,7.86,6.19,-9.80,0.26,-27.7,
2009-05-01 02:30,4.91,6.67,7.80,6.23,-9.80,0.26,-29.3,-9.6
2009-05-01 02:45,4.85,6.56,7.77,6.23,-9.74,0.26,-28.1,
2009-05-01 03:00,4.74,6.44,7.68,6.24,-9.78,0.27,-27.0,-3.8
2009-05-01 03:15,4.60,6.40,7.65,6.28,-9.87,0.27,-25.7,
2009-05-01 03:30,4.52,6.29,7.59,6.25,-9.96,0.27,-24.7,-4.4
2009-05-01 03:45,4.44,6.21,7.55,6.27,-10.04,0.27,-23.4,
2009-05-01 04:00,4.35,6.13,7.47,6.25,-10.15,0.27,-24.8,-4.2
2009-05-01 04:15,4.23,6.03,7.44,6.25,-10.21,0.27,-21.3,
2009-05-01 04:30,4.10,5.91,7.36,6.29,-10.30,0.27,-20.9,-4.0
2009-05-01 04:45,4.00,5.81,7.29,6.29,-10.36,0.27,-21.6,
2009-05-01 05:00,3.88,5.72,7.20,6.29,-10.38,0.27,-19.8,-3.7
2009-05-01 05:15,3.84,5.64,7.15,6.28,-10.33,0.27,-11.4,
2009-05-01 05:30,3.77,5.57,7.09,6.29,-10.20,0.27,4.2,7.4
2009-05-01 05:45,3.74,5.46,7.00,6.26,-9.87,0.27,26.2,
2009-05-01 06:00,3.76,5.36,6.95,6.26,-9.35,0.27,47.5,20.3
2009-05-01 06:15,3.82,5.30,6.89,6.22,-8.57,0.27,67.2,
2009-05-01 06:30,3.92,5.28,6.79,6.21,-7.56,0.27,80.1,-1.3
2009-05-01 06:45,4.05,5.22,6.71,6.20,-6.50,0.27,76.5,
2009-05-01 07:00,4.23,5.19,6.69,6.22,-5.51,0.27,112.4,12.9
2009-05-01 07:15,4.37,5.21,6.65,6.19,-4.59,0.27,155.2,
2009-05-01 07:30,4.52,5.20,6.56,6.20,-3.69,0.27,192.5,21.2
