Date / Time (PST)    ,K_in (W m-2), K_out (W m-2), L_in (W m-2),L_out (W m-2),AirT (ºC),RH (%)
2010-07-17 00:10,0,0,312.6,364.2,,
2010-07-17 00:20,0,0,312.6,366.9,,
2010-07-17 00:30,0,0,312.2,369.4,15,83.2
2010-07-17 00:40,0,0,311.1,368.1,,
2010-07-17 00:50,0,0,310.6,368.2,,
2010-07-17 01:00,0,0,310.3,369.2,14.9,82.4
2010-07-17 01:10,0,0,310.2,367.5,,
2010-07-17 01:20,0,0,309.5,364.8,,
2010-07-17 01:30,0,0,309.1,363.2,14.7,81.9
2010-07-17 01:40,0,0,309.4,363,,
2010-07-17 01:50,0,0,309.1,361.2,,
2010-07-17 02:00,0,0,307.4,356.3,14.6,81.8
2010-07-17 02:10,0,0,305.8,352.5,,
2010-07-17 02:20,0,0,304.4,349.3,,
2010-07-17 02:30,0,0,302.9,346.4,14.4,85
2010-07-17 02:40,0,0,302.7,345.5,,
2010-07-17 02:50,0,0,304.3,345.9,,
2010-07-17 03:00,0,0,305.6,346,13.5,88.4
2010-07-17 03:10,0,0,308.3,345.5,,
2010-07-17 03:20,0,0,310.6,345.2,,
2010-07-17 03:30,0,0,316.9,347.1,12.5,90.9
2010-07-17 03:40,0,0,324,350.5,,
2010-07-17 03:50,0,0,328.3,353.2,,
2010-07-17 04:00,0,0,330.2,354.1,12.3,92
2010-07-17 04:10,0,0,332.3,354.7,,
2010-07-17 04:20,0.5,0,334.8,359.5,,
2010-07-17 04:30,1.8,0.2,333.3,356.7,12.4,91.8
2010-07-17 04:40,4,1,331.8,356.3,,
2010-07-17 04:50,7.2,1.5,330,353.5,,
2010-07-17 05:00,12.5,2.2,332.2,354.6,12.4,91.3
2010-07-17 05:10,18.3,3.2,335.6,357.8,,
2010-07-17 05:20,22.9,4.2,336.9,359,,
2010-07-17 05:30,27.9,4.7,338.8,361.8,12.1,92.7
2010-07-17 05:40,46.7,9.6,341.7,364.7,,
2010-07-17 05:50,104.1,35.2,352.7,377.8,,
2010-07-17 06:00,121.5,46.9,347.4,384.8,12.2,92.4
2010-07-17 06:10,142.1,52.6,336.7,390.5,,
2010-07-17 06:20,172.6,57.5,323.9,395.5,,
2010-07-17 06:30,204.6,62.1,323.6,401.1,12.9,85.5
2010-07-17 06:40,241.6,69,319.1,400.2,,
2010-07-17 06:50,276.6,76.2,318.3,401.9,,
2010-07-17 07:00,296.8,82.9,317.2,403.3,14.6,80.9
2010-07-17 07:10,317,89.1,319.5,407.3,,
2010-07-17 07:20,340.2,94.9,322.3,411.9,,
2010-07-17 07:30,368.3,102.6,321.8,412.8,15.5,81.9
2010-07-17 07:40,394.8,108.6,325.1,417.6,,
